182,226069,21,-18,7,0,-438,-183,629,-255,-812,1067,0,0,0
183,227318,23,-13,0,0,-226,-406,634,180,-1040,860,0,0,0
184,228567,24,-5,-8,0,16,-570,541,586,-1111,525,0,0,0
185,229816,21,2,-14,0,261,-645,372,906,-1017,111,0,0,0
186,231065,15,11,-17,0,466,-616,146,1082,-762,-320,0,0,0
187,232314,7,19,-18,0,603,-495,-101,1098,-394,-704,0,0,0
188,233563,0,24,-14,1,644,-305,-338,949,33,-982,0,0,0
189,234812,-8,26,-8,0,582,-69,-524,651,455,-1106,0,0,0
190,236061,-15,25,-1,0,436,181,-630,255,811,-1066,0,0,0
191,237310,-17,21,6,0,225,405,-635,-180,1040,-860,0,0,0
192,238559,-18,13,14,0,-17,569,-542,-586,1111,-525,0,0,0
193,239808,-15,5,20,0,-262,644,-373,-906,1017,-111,0,0,0
194,241057,-9,-3,23,0,-467,615,-147,-1082,762,320,0,0,0
195,242306,-1,-12,23,0,-604,494,100,-1098,394,704,0,0,0
196,243555,14,-17,20,-9,-613,311,344,-924,-33,957,0,0,0
197,244804,214,-39,-6,-163,-307,69,524,-376,-455,831,0,0,0
198,246053,473,-69,-45,-352,-204,-199,613,-5,-812,817,0,0,0
199,247302,603,-82,-72,-438,-77,-426,610,349,-1036,687,0,0,0
200,248551,543,-68,-75,-385,-54,-579,528,525,-1107,582,0,0,0
201,249800,301,-34,-54,-194,8,-653,364,661,-1017,356,0,0,0
202,251049,-77,12,-16,101,48,-617,151,665,-768,103,0,0,0
203,252298,-544,72,35,457,63,-489,-85,552,-404,-148,0,0,0
204,253547,-1030,138,100,811,98,-291,-313,389,22,-411,0,0,0
205,254796,-1442,195,164,1099,78,-44,-489,122,445,-567,0,0,0
206,256045,-1696,228,214,1266,88,213,-584,-125,797,-672,0,0,0
207,257294,-1744,231,236,1283,54,431,-585,-377,1016,-639,0,0,0
208,258543,-1581,209,230,1145,36,589,-504,-553,1093,-540,0,0,0
209,259792,-1230,167,199,867,8,662,-352,-654,1014,-360,0,0,0
210,261041,-719,106,144,486,-28,637,-143,-665,780,-115,0,0,0
211,262290,-144,27,75,54,-50,512,92,-562,420,142,0,0,0
212,263539,430,-52,-2,-361,-77,307,321,-384,-14,398,0,0,0
213,264788,893,-114,-77,-699,-71,57,498,-128,-441,569,0,0,0
214,266037,1197,-149,-135,-911,-67,-198,593,131,-791,660,0,0,0
215,267286,1292,-158,-166,-973,-47,-412,595,365,-1007,642,0,0,0
216,268535,1197,-144,-168,-880,-22,-567,511,545,-1078,533,0,0,0
217,269784,893,-106,-142,-646,4,-647,359,651,-1006,355,0,0,0
218,271033,430,-44,-92,-302,40,-628,151,668,-779,111,0,0,0
219,272282,-112,31,-28,96,66,-505,-81,571,-424,-147,0,0,0
220,273531,-616,105,44,485,83,-303,-309,386,6,-392,0,0,0
221,274780,-1063,159,117,801,85,-53,-490,138,437,-575,0,0,0
222,276029,-1354,192,174,999,75,197,-590,-122,787,-665,0,0,0
223,277278,-1449,201,204,1050,59,408,-594,-349,1002,-653,0,0,0
224,278527,-1333,185,205,947,32,563,-513,-531,1076,-545,0,0,0
225,279776,-1021,144,177,702,4,644,-362,-640,1006,-366,0,0,0
226,281025,-551,79,125,347,-27,626,-157,-653,783,-130,0,0,0
227,282274,1,0,59,-59,-53,498,76,-551,422,129,0,0,0
228,283523,544,-74,-15,-453,-67,294,304,-361,-10,371,0,0,0
229,284772,996,-131,-90,-773,-70,48,484,-118,-436,554,0,0,0
230,286021,1298,-166,-150,-977,-61,-199,583,138,-782,644,0,0,0
231,287270,1406,-177,-184,-1036,-44,-410,585,366,-995,629,0,0,0
232,288519,1301,-161,-187,-941,-19,-568,503,549,-1071,522,0,0,0
233,289768,997,-118,-159,-702,10,-649,353,659,-1002,343,0,0,0
234,291017,537,-53,-108,-356,39,-629,150,668,-779,111,0,0,0
235,292266,-2,23,-44,43,68,-504,-81,572,-423,-149,0,0,0
236,293515,-539,95,29,432,82,-304,-308,386,4,-390,0,0,0
237,294764,-993,152,104,753,86,-59,-489,145,430,-575,0,0,0
238,296013,-1296,187,165,956,77,190,-590,-113,780,-667,1,1,1
239,297262,-1398,196,198,1012,60,401,-593,-341,994,-653,1,1,1
240,298511,-1285,178,200,911,35,558,-511,-523,1069,-546,1,1,1
241,299760,-971,135,172,668,6,639,-362,-633,1001,-368,1,1,1
242,301009,-513,70,122,324,-48,618,-162,-666,780,-114,1,1,1
